repo,category,labels,note
prime-slam/EF-plane-SLAM,lidar-odometry,,
Printeger/uwb-imu-fusion,uwb,,
QianMo/Real-Time-Rendering-3rd-CN-Summary-Ebook,slam-learning-handbooks,,
rayguan97/AGL-Net,gnss-hd-map-localization,place-recognition-loop-closure;multi-robot-slam,
Robot-WH/FAST_LWIO_SAM,lidar-inertial-odometry,,
ROBOT-WSC/RGC-SLAM,lidar-odometry,,
RoyinaJayanth/NIO_Lie_Events,deep-imu,,
rsasaki0109/lidar_slam_ros2,lidar-odometry,,
RuanJY/evaluater,evaluation-metrics,,
rvp-group/mad-ba,lidar-odometry,,
rwth-irt/gnssFGO,gnss-hd-map-localization,,
ryanbgriffiths/ICRA2023PaperList,paper-survey-awesome,,
samsdolphin/sc_ct_icp,place-recognition-loop-closure,lidar-odometry,
SangwooJung98/SPOT_ego_Velocity,leg,,
scomup/MathematicalRobotics,tools-engineering-productivity,,
SenseRoboticsLab/CURL,lidar-odometry,mapping-map-representation,
SenseRoboticsLab/CURL-SLAM,lidar-odometry,mapping-map-representation,
ShiPC-AI/LPR-Survey,place-recognition-loop-closure,paper-survey-awesome,
shuliufeng/LiDAR-IMU-GNSS-SLAM-,lidar-inertial-odometry,gnss-hd-map-localization,
ShuoYangRobotics/Cerberus,visual-inertial-odometry,leg,
ShuyiZhou495/INF,visual-inertial-odometry,mapping-map-representation,
silviutroscot/CodeSLAM,mapping-map-representation,,
siyuanliii/masa,visual-inertial-odometry,,
SJTU-ViSYS-team/AI-IO,deep-imu,,
SJTU-ViSYS/Ground-Fusion,gnss-hd-map-localization,lidar-visual-inertial-odometry,
sjtuyinjie/awesome-LiDAR-Visual-SLAM,lidar-visual-inertial-odometry,paper-survey-awesome,
SLAM-Handbook-contributors/slam-handbook-public-release,slam-learning-handbooks,,SLAM Handbook is a learning resource.
sparolab/KISS-IMU,deep-imu,,
sparolab/SKiD-SLAM,multi-robot-slam,,
Taeyoung96/Awesome-LiDAR-IMU-calibration,paper-survey-awesome,,
Taeyoung96/ICRA-2022-SLAM-paper-list,paper-survey-awesome,,
TakuOkawara/full_linear_wheel_odometry_factor,leg,wheel,
Tars0523/Doppler_Correspondence,point-cloud-registration,fmcw-slam,
Tompson11/SLAM_comparison,datasets-benchmarks,,
tu-darmstadt-ros-pkg/dynamic_direct_lidar_odometry,lidar-inertial-odometry,,
tzutalin/awesome-visual-slam,visual-inertial-odometry,paper-survey-awesome,
udaysankar01/xfeatSLAM,visual-inertial-odometry,,
url-kaist/dynaVINS,visual-inertial-odometry,,
uzh-rpg/learned_inertial_model_odometry,deep-imu,,
vectr-ucla/direct_lidar_odometry,lidar-odometry,,
verlab/accelerated_features,visual-inertial-odometry,,
Vincentqyw/Recent-Stars-2025,paper-survey-awesome,,
weisongwen/researchTools,slam-learning-handbooks,,
Weixin-Ma/Triplet-Graph,place-recognition-loop-closure,,
Weixin-Ma/tripletloc,place-recognition-loop-closure,,
xuankuzcr/LIV_handhold,tools-engineering-productivity,lidar-visual-inertial-odometry,
XuyangBai/awesome-point-cloud-registration,point-cloud-registration,paper-survey-awesome,
yanyan-li/SLAM-BOOK,slam-learning-handbooks,,
yeweihuang/LIO_Connector,multi-robot-slam,,
YiChenCityU/Recent_SLAM_Research,slam-learning-handbooks,,
yinwu33/multi_lidar_calibration,tools-engineering-productivity,multi-lidar-fusion,
Yixin-F/LiLoc,multi-robot-slam,lidar-inertial-odometry,
yj-dlut/TCK-VILO,lidar-visual-inertial-odometry,,
yogurt-ybn/TartanIMU_model_intefer,deep-imu,,
yzhangec/Exploration-with-Global-Consistency,place-recognition-loop-closure,planning-navigation,
zhuge2333/4DRadarSLAM,radar-slam-perception,,
zimingluo/Point2Graph,point-cloud-perception,mapping-map-representation,
zm0612/funny_lidar_slam,lidar-inertial-odometry,,
zubair-irshad/Awesome-Implicit-NeRF-Robotics,mapping-map-representation,paper-survey-awesome,
